id,full_name,total_count,B1351,India,India_ratio_corr,India_ratio
AFG,Afghanistan,16,0.0,0.0,0.058823529411764705,0.0
ALB,Albania,30,0.0,0.0,0.03225806451612903,0.0
DZA,Algeria,28,0.0,0.0,0.034482758620689655,0.0
AND,Andorra,1,0.0,0.0,0.5,0.0
AGO,Angola,182,0.0,0.0,0.00546448087431694,0.0
ATG,Antigua and Barbuda,1,0.0,0.0,0.5,0.0
ARG,Argentina,3102,1.0,0.0,0.0003222687721559781,0.0
ARM,Armenia,81,0.0,0.0,0.012195121951219513,0.0
ABW,Aruba,946,0.0,0.0,0.0010559662090813093,0.0
AUS,Australia,17565,13.0,25.0,0.001480132073323466,0.0014232849416453174
AUT,Austria,25776,6.0,0.0,3.879427396516274e-05,0.0
AZE,Azerbaijan,13,0.0,0.0,0.07142857142857142,0.0
BHS,Bahamas,28,0.0,0.0,0.034482758620689655,0.0
BHR,Bahrain,201,0.0,0.0,0.0049504950495049506,0.0
BGD,Bangladesh,1505,34.0,7.0,0.005312084993359893,0.004651162790697674
BRB,Barbados,5,0.0,0.0,0.16666666666666666,0.0
BLR,Belarus,46,0.0,0.0,0.02127659574468085,0.0
BEL,Belgium,21454,62.0,40.0,0.0019109764623630855,0.001864454181038501
BLZ,Belize,52,0.0,0.0,0.018867924528301886,0.0
BEN,Benin,12,0.0,0.0,0.07692307692307693,0.0
BMU,Bermuda,30,0.0,0.0,0.03225806451612903,0.0
BOL,Bolivia,39,0.0,0.0,0.025,0.0
BES,"Bonaire, Sint Eustatius and Saba",175,0.0,0.0,0.005681818181818182,0.0
BIH,Bosnia and Herzegovina,100,0.0,0.0,0.009900990099009901,0.0
BWA,Botswana,180,0.0,1.0,0.011049723756906077,0.005555555555555556
BRA,Brazil,10237,0.0,0.0,9.767532721234616e-05,0.0
VGB,British Virgin Islands,5,0.0,0.0,0.16666666666666666,0.0
BRN,Brunei,10,0.0,0.0,0.09090909090909091,0.0
BGR,Bulgaria,2469,0.0,0.0,0.0004048582995951417,0.0
BFA,Burkina Faso,160,0.0,0.0,0.006211180124223602,0.0
KHM,Cambodia,234,0.0,0.0,0.00425531914893617,0.0
CMR,Cameroon,180,0.0,0.0,0.0055248618784530384,0.0
CAN,Canada,41636,109.0,0.0,2.401710017532483e-05,0.0
CYM,Cayman Islands,3,0.0,0.0,0.25,0.0
CHL,Chile,2196,0.0,0.0,0.0004551661356395084,0.0
CHN,China,848,0.0,0.0,0.001177856301531213,0.0
COL,Colombia,1057,0.0,0.0,0.000945179584120983,0.0
COM,Comoros,6,0.0,0.0,0.14285714285714285,0.0
CRI,Costa Rica,557,0.0,0.0,0.0017921146953405018,0.0
HRV,Croatia,1518,0.0,0.0,0.0006583278472679394,0.0
CUB,Cuba,649,0.0,0.0,0.0015384615384615385,0.0
CUW,Curaçao,389,0.0,0.0,0.002564102564102564,0.0
CYP,Cyprus,133,0.0,0.0,0.007462686567164179,0.0
CZE,Czech Republic,2900,15.0,0.0,0.0003447087211306446,0.0
CIV,Côte d'Ivoire,145,0.0,0.0,0.00684931506849315,0.0
COD,Democratic Republic of the Congo,404,1.0,4.0,0.012345679012345678,0.009900990099009901
DNK,Denmark,98265,18.0,26.0,0.00027476441495532535,0.0002645906477382588
DOM,Dominican Republic,19,0.0,0.0,0.05,0.0
ECU,Ecuador,407,0.0,0.0,0.0024509803921568627,0.0
EGY,Egypt,839,0.0,0.0,0.0011904761904761906,0.0
SLV,El Salvador,6,0.0,0.0,0.14285714285714285,0.0
GNQ,Equatorial Guinea,190,0.0,0.0,0.005235602094240838,0.0
EST,Estonia,1802,0.0,0.0,0.0005546311702717693,0.0
ETH,Ethiopia,14,0.0,0.0,0.06666666666666667,0.0
FRO,Faroe Islands,42,0.0,0.0,0.023255813953488372,0.0
FIN,Finland,4630,0.0,0.0,0.00021593608291945585,0.0
FRA,France,34064,526.0,29.0,0.0008806693086745927,0.0008513386566463128
GUF,French Guiana,292,0.0,0.0,0.0034129692832764505,0.0
PYF,French Polynesia,10,0.0,0.0,0.09090909090909091,0.0
GAB,Gabon,158,0.0,0.0,0.006289308176100629,0.0
GMB,Gambia,470,0.0,0.0,0.0021231422505307855,0.0
GEO,Georgia,57,0.0,0.0,0.017241379310344827,0.0
DEU,Germany,108340,400.0,73.0,0.0006830285856693219,0.000673804688942219
GHA,Ghana,433,0.0,0.0,0.002304147465437788,0.0
GIB,Gibraltar,567,0.0,0.0,0.0017605633802816902,0.0
GRC,Greece,1443,0.0,0.0,0.0006925207756232687,0.0
GRD,Grenada,5,0.0,0.0,0.16666666666666666,0.0
GLP,Guadeloupe,100,0.0,0.0,0.009900990099009901,0.0
GUM,Guam,30,0.0,0.0,0.03225806451612903,0.0
GTM,Guatemala,41,0.0,0.0,0.023809523809523808,0.0
GIN,Guinea,8,0.0,0.0,0.1111111111111111,0.0
GUY,Guyana,10,0.0,0.0,0.09090909090909091,0.0
HTI,Haiti,28,0.0,0.0,0.034482758620689655,0.0
HND,Honduras,29,0.0,0.0,0.03333333333333333,0.0
HKG,Hong Kong,2588,0.0,0.0,0.0003862495171881035,0.0
HUN,Hungary,435,0.0,0.0,0.0022935779816513763,0.0
ISL,Iceland,5028,0.0,0.0,0.00019884668920262477,0.0
IND,India,14998,19.0,73.0,0.00493366224414961,0.004867315642085612
IDN,Indonesia,1722,1.0,12.0,0.0075449796865931515,0.006968641114982578
IRN,Iran,288,0.0,6.0,0.02422145328719723,0.020833333333333332
IRQ,Iraq,128,0.0,0.0,0.007751937984496124,0.0
IRL,Ireland,13097,1.0,27.0,0.002137730951290273,0.002061540810872719
ISR,Israel,11743,1.0,26.0,0.0022990463215258857,0.002214084986800647
ITA,Italy,27750,8.0,53.0,0.00194587582429462,0.00190990990990991
JAM,Jamaica,13,0.0,0.0,0.07142857142857142,0.0
JPN,Japan,37309,14.0,93.0,0.0025194317877244706,0.0024926961323005173
JOR,Jordan,630,2.0,0.0,0.001584786053882726,0.0
KAZ,Kazakhstan,267,0.0,0.0,0.0037313432835820895,0.0
KEN,Kenya,843,0.0,0.0,0.001184834123222749,0.0
XKO,Kosovo,30,0.0,0.0,0.03225806451612903,0.0
KWT,Kuwait,30,0.0,0.0,0.03225806451612903,0.0
LVA,Latvia,3349,0.0,0.0,0.00029850746268656717,0.0
LBN,Lebanon,64,0.0,0.0,0.015384615384615385,0.0
LSO,Lesotho,18,0.0,0.0,0.05263157894736842,0.0
LIE,Liechtenstein,44,0.0,0.0,0.022222222222222223,0.0
LTU,Lithuania,8787,0.0,0.0,0.0001137915339098771,0.0
LUX,Luxembourg,7771,59.0,0.0,0.00012866700977869275,0.0
MKD,Macedonia,522,0.0,0.0,0.0019120458891013384,0.0
MDG,Madagascar,122,0.0,0.0,0.008130081300813009,0.0
MWI,Malawi,156,0.0,0.0,0.006369426751592357,0.0
MYS,Malaysia,672,39.0,2.0,0.004457652303120356,0.002976190476190476
MLI,Mali,24,0.0,0.0,0.04,0.0
MLT,Malta,157,1.0,0.0,0.006329113924050633,0.0
MTQ,Martinique,26,2.0,0.0,0.037037037037037035,0.0
MUS,Mauritius,74,0.0,0.0,0.013333333333333334,0.0
MYT,Mayotte,700,6.0,0.0,0.0014265335235378032,0.0
MEX,Mexico,8359,3.0,2.0,0.0003588516746411483,0.00023926306974518484
MDA,Moldova,12,0.0,0.0,0.07692307692307693,0.0
MCO,Monaco,6,0.0,0.0,0.14285714285714285,0.0
MNG,Mongolia,26,0.0,0.0,0.037037037037037035,0.0
MNE,Montenegro,31,0.0,0.0,0.03125,0.0
MAR,Morocco,256,0.0,0.0,0.0038910505836575876,0.0
MOZ,Mozambique,153,0.0,0.0,0.006493506493506494,0.0
MMR,Myanmar,40,0.0,0.0,0.024390243902439025,0.0
NAM,Namibia,56,0.0,0.0,0.017543859649122806,0.0
NPL,Nepal,33,0.0,4.0,0.14705882352941177,0.12121212121212122
NLD,Netherlands,32339,60.0,11.0,0.00037105751391465676,0.0003401465722502242
NZL,New Zealand,1064,1.0,2.0,0.0028169014084507044,0.0018796992481203006
NER,Niger,6,0.0,0.0,0.14285714285714285,0.0
NGA,Nigeria,681,0.0,0.0,0.001466275659824047,0.0
MNP,Northern Mariana Islands,62,0.0,0.0,0.015873015873015872,0.0
NOR,Norway,9260,7.0,1.0,0.00021595939963286903,0.00010799136069114471
OMN,Oman,245,0.0,0.0,0.0040650406504065045,0.0
PAK,Pakistan,293,2.0,0.0,0.003401360544217687,0.0
PSE,Palestina,132,0.0,0.0,0.007518796992481203,0.0
PAN,Panama,885,0.0,0.0,0.001128668171557562,0.0
PNG,Papua New Guinea,194,0.0,0.0,0.005128205128205128,0.0
PRY,Paraguay,60,0.0,0.0,0.01639344262295082,0.0
PER,Peru,1226,0.0,0.0,0.0008149959250203749,0.0
PHL,Philippines,4232,0.0,0.0,0.00023623907394283014,0.0
POL,Poland,11873,12.0,21.0,0.0018527876031665825,0.0017687189421376232
PRT,Portugal,7474,11.0,0.0,0.00013377926421404682,0.0
PRI,Puerto Rico,1079,0.0,0.0,0.000925925925925926,0.0
QAT,Qatar,1910,2.0,0.0,0.0005232862375719519,0.0
COG,Republic of Congo,124,0.0,0.0,0.008,0.0
