,full_name,total_count,P1,P1_ratio,inc,combined
ARG,Argentina,172.0,77.0,0.4476744186046512,466.80269999999996,208.9756273255814
BRA,Brazil,222.0,204.0,0.918918918918919,217.65240000000003,200.00490810810814
CHL,Chile,50.0,23.0,0.46,230.11379999999997,105.85234799999999
CRI,Costa Rica,3.0,1.0,0.3333333333333333,307.5317,102.51056666666666
JOR,Jordan,7.0,2.0,0.2857142857142857,49.0434,14.0124
CAN,Canada,976.0,178.0,0.18237704918032788,61.9332,11.295194262295082
BEL,Belgium,3203.0,282.0,0.08804246019356853,121.9883,10.740150046831095
USA,United States,48954.0,4446.0,0.09081995342566491,49.4998,4.495569530579728
ESP,Spain,2239.0,124.0,0.055381866904868245,68.3522,3.785472443054935
NLD,Netherlands,2948.0,81.0,0.027476255088195387,136.7037,3.7561057327001355
ITA,Italy,2898.0,201.0,0.06935817805383022,48.46379999999999,3.3613608695652166
MLT,Malta,70.0,23.0,0.32857142857142857,6.115200000000001,2.0092800000000004
PRT,Portugal,433.0,22.0,0.050808314087759814,30.9512,1.5725782909930714
ECU,Ecuador,50.0,1.0,0.02,47.18,0.9436
JPN,Japan,198.0,6.0,0.030303030303030304,24.621100000000002,0.7460939393939394
MEX,Mexico,664.0,37.0,0.05572289156626506,11.797100000000002,0.6573685240963857
FRA,France,4553.0,27.0,0.0059301559411377115,101.4958,0.601885921370525
CHE,Switzerland,4335.0,36.0,0.008304498269896194,71.2334,0.5915576470588236
LUX,Luxembourg,118.0,1.0,0.00847457627118644,43.292199999999994,0.3668830508474576
ROU,Romania,91.0,2.0,0.02197802197802198,14.835799999999999,0.32606153846153846
DEU,Germany,23712.0,109.0,0.004596828609986505,46.86359999999999,0.21542393724696351
SWE,Sweden,2975.0,3.0,0.0010084033613445378,151.942,0.15321882352941177
SVN,Slovenia,856.0,1.0,0.0011682242990654205,97.79069999999999,0.1142414719626168
GBR,United Kingdom,23920.0,54.0,0.0022575250836120403,26.2234,0.05919998327759198
DNK,Denmark,11278.0,3.0,0.00026600461074658625,120.23060000000001,0.031981893952828515
ISR,Israel,381.0,4.0,0.010498687664041995,2.1601999999999997,0.022679265091863514
POL,Poland,1846.0,1.0,0.0005417118093174431,24.279500000000002,0.013152491874322861
AUS,Australia,134.0,1.0,0.007462686567164179,0.2667,0.0019902985074626866
PAK,Pakistan,7.0,0.0,0.0,9.4668,0.0
UGA,Uganda,2.0,0.0,0.0,2.5949,0.0
SVK,Slovakia,93.0,0.0,0.0,19.012,0.0
RUS,Russia,39.0,0.0,0.0,40.858999999999995,0.0
SGP,Singapore,90.0,0.0,0.0,3.8801,0.0
TUR,Turkey,152.0,0.0,0.0,72.4276,0.0
ZAF,South Africa,143.0,0.0,0.0,27.797,0.0
NOR,Norway,368.0,0.0,0.0,62.1628,0.0
LKA,Sri Lanka,40.0,0.0,0.0,97.762,0.0
THA,Thailand,18.0,0.0,0.0,30.006899999999998,0.0
TUN,Tunisia,2.0,0.0,0.0,75.5419,0.0
KOR,South Korea,180.0,0.0,0.0,8.180200000000001,0.0
BIH,Bosnia and Herzegovina,2.0,0.0,0.0,24.7198,0.0
NZL,New Zealand,18.0,0.0,0.0,0.22820000000000001,0.0
ETH,Ethiopia,1.0,0.0,0.0,2.247,0.0
KHM,Cambodia,89.0,0.0,0.0,22.1725,0.0
BGD,Bangladesh,37.0,0.0,0.0,6.0451999999999995,0.0
CHN,China,11.0,0.0,0.0,0.008400000000000001,0.0
AUT,Austria,320.0,0.0,0.0,39.1832,0.0
CUB,Cuba,75.0,0.0,0.0,75.34450000000001,0.0
CZE,Czech Republic,178.0,0.0,0.0,37.5291,0.0
COD,Democratic Republic of the Congo,4.0,0.0,0.0,0.6027,0.0
EGY,Egypt,44.0,0.0,0.0,7.854000000000001,0.0
GHA,Ghana,1.0,0.0,0.0,0.8204,0.0
NPL,Nepal,11.0,0.0,0.0,189.1316,0.0
GRC,Greece,228.0,0.0,0.0,110.6777,0.0
IND,India,329.0,0.0,0.0,115.69879999999998,0.0
IDN,Indonesia,47.0,0.0,0.0,13.9363,0.0
IRN,Iran,6.0,0.0,0.0,87.6981,0.0
IRL,Ireland,2103.0,0.0,0.0,51.0755,0.0
LVA,Latvia,49.0,0.0,0.0,138.53209999999999,0.0
BWA,Botswana,2.0,0.0,0.0,87.8115,0.0
MYS,Malaysia,18.0,0.0,0.0,147.9051,0.0
LTU,Lithuania,323.0,0.0,0.0,163.9064,0.0
AFG,Afghanistan,0.0,0.0,,9.3016,
ALB,Albania,0.0,0.0,,5.1779,
DZA,Algeria,0.0,0.0,,3.9906999999999995,
AND,Andorra,0.0,0.0,,132.013,
AGO,Angola,0.0,0.0,,5.781300000000001,
ATG,Antigua and Barbuda,0.0,0.0,,6.1270999999999995,
ARM,Armenia,0.0,0.0,,30.405900000000003,
ABW,Aruba,128.0,16.0,0.125,,
